dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
cmapss_fd003,2,proposed_lite,timesnet,auc_roc,-0.0046416339971268,-0.0116399626495872,-0.0006970023546742
cmapss_fd003,2,proposed_lite,timesnet,auc_pr,-0.0731749215236425,-0.1198573015216545,-0.0307581513741984
cmapss_fd003,3,full,lstm,f2,-0.0360180333841934,-0.076337982333736,-0.0012778106414408
cmapss_fd003,3,full,lstm,auc_roc,-0.0078515980573494,-0.0262477305336042,0.0005415584309702
cmapss_fd003,3,full,lstm,auc_pr,-0.0258532034353961,-0.0841013504605232,0.0247502911761618
cmapss_fd003,3,full,tcn,f2,-0.0281706950779969,-0.0796627835841744,0.0164002680776144
cmapss_fd003,3,full,tcn,auc_roc,-0.0078381783711946,-0.0266742328547577,0.0007317932851383
cmapss_fd003,3,full,tcn,auc_pr,-0.0197707421928891,-0.0795056065003088,0.0312079079713562
cmapss_fd003,3,full,timesnet,f2,-0.0291218273622734,-0.0895732746219054,0.0156688216669208
cmapss_fd003,3,full,timesnet,auc_roc,-0.0081437298134641,-0.0269696352129689,0.0004344845081857
cmapss_fd003,3,full,timesnet,auc_pr,-0.030651537513493,-0.0869082065427939,0.0188598407566655
cmapss_fd003,3,proposed_lite,lstm,f2,-0.0232722199150367,-0.0614710525945782,0.0100595559698126
cmapss_fd003,3,proposed_lite,lstm,auc_roc,-0.0039180110043545,-0.0126429081367317,0.0002406402241637
cmapss_fd003,3,proposed_lite,lstm,auc_pr,-0.0233273410035081,-0.0673140622434233,0.0106215656492018
cmapss_fd003,3,proposed_lite,tcn,f2,-0.0154248816088402,-0.0674166740174012,0.0314141063948585
cmapss_fd003,3,proposed_lite,tcn,auc_roc,-0.0039045913181997,-0.0130979916977333,0.0007261275355993
cmapss_fd003,3,proposed_lite,tcn,auc_pr,-0.0172448797610011,-0.07505931157699,0.0341875985342115
cmapss_fd003,3,proposed_lite,timesnet,f2,-0.0163760138931167,-0.0729395115456867,0.0265813563762517
cmapss_fd003,3,proposed_lite,timesnet,auc_roc,-0.0042101427604693,-0.0133495788618436,0.0001667742853295
cmapss_fd003,3,proposed_lite,timesnet,auc_pr,-0.028125675081605,-0.0739146060902171,0.0067087274380742
cmapss_fd003,4,full,lstm,f2,0.005753994938732,-0.0299714756448873,0.036031093946402
cmapss_fd003,4,full,lstm,auc_roc,-0.0014151541781711,-0.0061267418646308,0.001282269702253
cmapss_fd003,4,full,lstm,auc_pr,0.0090530537214389,-0.0491147125424051,0.0683905458161591
