dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
ur3,full,5,high,0.6,6,0.012159105390310287,0.19883990287780762
ur3,full,5,low,0.6,6,0.18795134127140045,0.3758125603199005
ur3,full,5,random,0.6,6,0.034108273684978485,0.281324565410614
ur3,full,5,high,0.7,7,0.05079447850584984,0.2298223078250885
ur3,full,5,low,0.7,7,0.24166545271873474,0.38259753584861755
ur3,full,5,random,0.7,7,0.09488996863365173,0.29666146636009216
ur3,full,5,high,0.8,8,0.09152408689260483,0.24853664636611938
ur3,full,5,low,0.8,8,0.2646445035934448,0.37230414152145386
ur3,full,5,random,0.8,8,0.11332648992538452,0.3131885528564453
ur3,full,5,high,0.9,9,0.1595870852470398,0.2847082316875458
ur3,full,5,low,0.9,9,0.2491016536951065,0.3494407832622528
ur3,full,5,random,0.9,9,0.15686753392219543,0.3223353922367096
ur3,full,5,high,1.0,10,0.27456170320510864,0.3263731002807617
ur3,full,5,low,1.0,10,0.27456170320510864,0.3263731002807617
ur3,full,5,random,1.0,10,0.27456170320510864,0.3263731002807617
ur3,full,5,randomized_attn,0.1,1,0.010564593598246574,0.06835605949163437
ur3,full,5,randomized_attn,0.2,2,0.02146434597671032,0.10050821304321289
ur3,full,5,randomized_attn,0.3,3,0.03864136338233948,0.1343415230512619
ur3,full,5,randomized_attn,0.4,4,0.05983452498912811,0.16599297523498535
ur3,full,5,randomized_attn,0.5,5,0.07963154464960098,0.1910843849182129
ur3,full,5,randomized_attn,0.6,6,0.11245110630989075,0.2115032821893692
ur3,full,5,randomized_attn,0.7,7,0.12345007061958313,0.23061281442642212
ur3,full,5,randomized_attn,0.8,8,0.13926935195922852,0.2548408508300781
ur3,full,5,randomized_attn,0.9,9,0.23498757183551788,0.2933361530303955
ur3,full,5,randomized_attn,1.0,10,0.27456170320510864,0.3263731002807617
ur3,softmax,1,high,0.1,1,0.0107974112033844,0.04316326603293419
ur3,softmax,1,low,0.1,1,-0.011011170223355293,0.09792236983776093
ur3,softmax,1,random,0.1,1,0.014873072504997253,0.09051612764596939
ur3,softmax,1,high,0.2,2,0.005055960267782211,0.10610926151275635
ur3,softmax,1,low,0.2,2,-0.012106537818908691,0.1410600244998932
ur3,softmax,1,random,0.2,2,0.027561014518141747,0.1640060395002365
ur3,softmax,1,high,0.3,3,0.0017947879387065768,0.170160710811615
ur3,softmax,1,low,0.3,3,-0.008575890213251114,0.17298981547355652
ur3,softmax,1,random,0.3,3,0.01029397826641798,0.19857457280158997
ur3,softmax,1,high,0.4,4,0.006225522141903639,0.2205197960138321
ur3,softmax,1,low,0.4,4,0.027236202731728554,0.211360365152359
ur3,softmax,1,random,0.4,4,0.054208796471357346,0.25786519050598145
ur3,softmax,1,high,0.5,5,0.013810009695589542,0.2581835687160492
ur3,softmax,1,low,0.5,5,0.06779690086841583,0.2507985234260559
ur3,softmax,1,random,0.5,5,0.04213088005781174,0.28230005502700806
ur3,softmax,1,high,0.6,6,0.03638462722301483,0.2917006313800812
