dataset,model,seed,params,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd003,lite_w_o_mc_dropout,1,9650,0.45,0.8618581907090465,0.9930979234039716,0.8855866871298057,0.0113648549961441,0.0142986129802385
cmapss_fd003,lite_w_o_mc_dropout,2,9650,0.5700000000000001,0.8600125549278091,0.9925672705086448,0.8889643856855592,0.0106267270338369,0.0168723545799349
cmapss_fd003,lite_w_o_mc_dropout,3,9650,0.68,0.8802816901408451,0.9949975069568082,0.9329815387004728,0.009030838661958,0.0100585662208797
cmapss_fd003,lite_w_o_mc_dropout,4,9650,0.6,0.8889602053915276,0.9963674630305408,0.925492995908462,0.0077671591640994,0.0091662881039019
cmapss_fd003,lite_w_o_mc_dropout,5,9650,0.2,0.851063829787234,0.9903544222997266,0.9145412993887748,0.0090580495489307,0.0103271629828311
cmapss_fd003,lite_w_o_mc_dropout,6,9650,0.5,0.8950031625553447,0.9984995597119092,0.94005664557051,0.0077744640102858,0.0105488343692783
cmapss_fd003,lite_w_o_mc_dropout,7,9650,0.77,0.8277254374158816,0.99363447244258,0.8461421265959415,0.008024983006236,0.0105085497757117
cmapss_fd003,lite_w_o_mc_dropout,8,9650,0.78,0.8964646464646465,0.9952512974719644,0.9288914651121682,0.0116491533115572,0.0163985977015157
cmapss_fd003,lite_w_o_mc_dropout,9,9650,0.6900000000000001,0.8645443196004994,0.9941061639050924,0.90983284489346,0.0118248074383861,0.0153802949805998
cmapss_fd003,lite_w_o_mc_dropout,10,9650,0.6,0.8550540368722187,0.993731117921584,0.8788680090807915,0.0095419253016266,0.0144522975358859
xjtu,lite_w_o_attention,1,21754,0.65,0.6119402985074627,0.7081871026833892,0.484783887659275,0.2296661022604793,0.214180315323174
xjtu,lite_w_o_attention,2,21754,0.79,0.6124497991967871,0.7172239301357565,0.5125117004358057,0.2947309111846444,0.2686215990409255
xjtu,lite_w_o_attention,3,21754,0.81,0.5864509605662285,0.6910429759410905,0.417987795173002,0.2622608963447145,0.2897644107975066
xjtu,lite_w_o_attention,4,21754,0.8,0.5785123966942148,0.6894605109230896,0.554260390892531,0.3578909357634582,0.4145059954375027
xjtu,lite_w_o_attention,5,21754,0.81,0.5831643002028397,0.7233225417380815,0.5120689063793205,0.2254461376560914,0.2196379146259278
xjtu,lite_w_o_attention,6,21754,0.75,0.5876393110435664,0.7199626375021537,0.4983275074978926,0.2027513295248185,0.191148135010153
xjtu,lite_w_o_attention,7,21754,0.89,0.5801376597836775,0.6580878018699386,0.3189551804407928,0.3824195164360786,0.3833209806866943
xjtu,lite_w_o_attention,8,21754,0.79,0.5979899497487438,0.7276981255271104,0.5628225555751647,0.3028370073710007,0.2836754135042429
xjtu,lite_w_o_attention,9,21754,0.79,0.6243756243756243,0.6628941426122915,0.4427766354894007,0.2398841289602418,0.1939841279946267
xjtu,lite_w_o_attention,10,21754,0.8400000000000001,0.5616850551654965,0.6580696647350619,0.4071406970559246,0.2541261860188879,0.2470374391600489
xjtu,lite_w_o_mc_dropout,1,21754,0.72,0.5645981688708036,0.6550770374803893,0.4756052149244339,0.2224370163543395,0.2172920279204845
xjtu,lite_w_o_mc_dropout,2,21754,0.75,0.541795665634675,0.666403678210953,0.5628431577312529,0.2092880594093748,0.1738471020013093
xjtu,lite_w_o_mc_dropout,3,21754,0.78,0.5331991951710262,0.6615882689011616,0.5149941150078843,0.270895917749377,0.3038945554941892
xjtu,lite_w_o_mc_dropout,4,21754,0.81,0.5333333333333333,0.6541611121691107,0.5959685463903407,0.3761757683509927,0.434684319794178
