dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
cmapss_fd003,lite_no_attn_mc,500,0.5,0,2,1.0
cmapss_fd003,lite_no_mc,500,0.5,0,5,15.0
cmapss_fd003,matched_tcn,500,1.0,0,2,2.0
cmapss_fd003,full_mc,500,1.0,0,5,17.5
cmapss_fd003,lite_mc,500,1.0,0,3,14.5
cmapss_fd003,lite_no_attn_mc,500,1.0,0,2,2.0
cmapss_fd003,lite_no_mc,500,1.0,0,5,17.5
cmapss_fd003,matched_tcn,500,2.0,0,2,4.0
cmapss_fd003,full_mc,500,2.0,0,5,22.5
cmapss_fd003,lite_mc,500,2.0,0,3,17.5
cmapss_fd003,lite_no_attn_mc,500,2.0,0,2,4.0
cmapss_fd003,lite_no_mc,500,2.0,0,5,22.5
cmapss_fd003,matched_tcn,500,5.0,0,2,10.0
cmapss_fd003,full_mc,500,5.0,0,5,37.5
cmapss_fd003,lite_mc,500,5.0,0,3,26.5
cmapss_fd003,lite_no_attn_mc,500,5.0,0,2,10.0
cmapss_fd003,lite_no_mc,500,5.0,0,5,37.5
cmapss_fd003,matched_tcn,1000,0.5,0,2,1.0
cmapss_fd003,full_mc,1000,0.5,0,5,15.0
cmapss_fd003,lite_mc,1000,0.5,0,3,13.0
cmapss_fd003,lite_no_attn_mc,1000,0.5,0,2,1.0
cmapss_fd003,lite_no_mc,1000,0.5,0,5,15.0
cmapss_fd003,matched_tcn,1000,1.0,0,2,2.0
cmapss_fd003,full_mc,1000,1.0,0,5,17.5
cmapss_fd003,lite_mc,1000,1.0,0,3,14.5
cmapss_fd003,lite_no_attn_mc,1000,1.0,0,2,2.0
cmapss_fd003,lite_no_mc,1000,1.0,0,5,17.5
cmapss_fd003,matched_tcn,1000,2.0,0,2,4.0
cmapss_fd003,full_mc,1000,2.0,0,5,22.5
cmapss_fd003,lite_mc,1000,2.0,0,3,17.5
cmapss_fd003,lite_no_attn_mc,1000,2.0,0,2,4.0
cmapss_fd003,lite_no_mc,1000,2.0,0,5,22.5
cmapss_fd003,matched_tcn,1000,5.0,0,2,10.0
cmapss_fd003,full_mc,1000,5.0,0,5,37.5
cmapss_fd003,lite_mc,1000,5.0,0,3,26.5
cmapss_fd003,lite_no_attn_mc,1000,5.0,0,2,10.0
cmapss_fd003,lite_no_mc,1000,5.0,0,5,37.5
xjtu,matched_tcn,10,0.5,0,0,0.0
xjtu,full_mc,10,0.5,0,0,2.0
xjtu,lite_mc,10,0.5,0,0,2.0
xjtu,lite_no_attn_mc,10,0.5,0,0,0.0
xjtu,lite_no_mc,10,0.5,0,0,2.0
xjtu,matched_tcn,10,1.0,0,0,0.0
xjtu,full_mc,10,1.0,0,0,2.0
xjtu,lite_mc,10,1.0,0,0,2.0
xjtu,lite_no_attn_mc,10,1.0,0,0,0.0
xjtu,lite_no_mc,10,1.0,0,0,2.0
xjtu,matched_tcn,10,2.0,0,0,0.0
xjtu,full_mc,10,2.0,0,0,2.0
xjtu,lite_mc,10,2.0,0,0,2.0
xjtu,lite_no_attn_mc,10,2.0,0,0,0.0
xjtu,lite_no_mc,10,2.0,0,0,2.0
