dataset,miss_cost,fp_cost,explain_cost,best_models,best_cost
ur3,10,0.5,1.0,matched_tcn+lite_no_attn_mc,3.0
ur3,10,0.5,2.0,matched_tcn+lite_no_attn_mc,3.0
ur3,10,0.5,5.0,matched_tcn+lite_no_attn_mc,3.0
ur3,10,1.0,0.0,matched_tcn+lite_no_attn_mc,6.0
ur3,10,1.0,0.25,matched_tcn+lite_no_attn_mc,6.0
ur3,10,1.0,0.5,matched_tcn+lite_no_attn_mc,6.0
ur3,10,1.0,1.0,matched_tcn+lite_no_attn_mc,6.0
ur3,10,1.0,2.0,matched_tcn+lite_no_attn_mc,6.0
ur3,10,1.0,5.0,matched_tcn+lite_no_attn_mc,6.0
ur3,10,2.0,0.0,matched_tcn+lite_no_attn_mc,12.0
ur3,10,2.0,0.25,matched_tcn+lite_no_attn_mc,12.0
ur3,10,2.0,0.5,matched_tcn+lite_no_attn_mc,12.0
ur3,10,2.0,1.0,matched_tcn+lite_no_attn_mc,12.0
ur3,10,2.0,2.0,matched_tcn+lite_no_attn_mc,12.0
ur3,10,2.0,5.0,matched_tcn+lite_no_attn_mc,12.0
ur3,10,5.0,0.0,matched_tcn+lite_no_attn_mc,30.0
ur3,10,5.0,0.25,matched_tcn+lite_no_attn_mc,30.0
ur3,10,5.0,0.5,matched_tcn+lite_no_attn_mc,30.0
ur3,10,5.0,1.0,matched_tcn+lite_no_attn_mc,30.0
ur3,10,5.0,2.0,matched_tcn+lite_no_attn_mc,30.0
ur3,10,5.0,5.0,matched_tcn+lite_no_attn_mc,30.0
ur3,50,0.5,0.0,matched_tcn+lite_no_attn_mc,3.0
ur3,50,0.5,0.25,matched_tcn+lite_no_attn_mc,3.0
ur3,50,0.5,0.5,matched_tcn+lite_no_attn_mc,3.0
ur3,50,0.5,1.0,matched_tcn+lite_no_attn_mc,3.0
ur3,50,0.5,2.0,matched_tcn+lite_no_attn_mc,3.0
ur3,50,0.5,5.0,matched_tcn+lite_no_attn_mc,3.0
ur3,50,1.0,0.0,matched_tcn+lite_no_attn_mc,6.0
ur3,50,1.0,0.25,matched_tcn+lite_no_attn_mc,6.0
ur3,50,1.0,0.5,matched_tcn+lite_no_attn_mc,6.0
ur3,50,1.0,1.0,matched_tcn+lite_no_attn_mc,6.0
ur3,50,1.0,2.0,matched_tcn+lite_no_attn_mc,6.0
ur3,50,1.0,5.0,matched_tcn+lite_no_attn_mc,6.0
ur3,50,2.0,0.0,matched_tcn+lite_no_attn_mc,12.0
ur3,50,2.0,0.25,matched_tcn+lite_no_attn_mc,12.0
ur3,50,2.0,0.5,matched_tcn+lite_no_attn_mc,12.0
ur3,50,2.0,1.0,matched_tcn+lite_no_attn_mc,12.0
ur3,50,2.0,2.0,matched_tcn+lite_no_attn_mc,12.0
ur3,50,2.0,5.0,matched_tcn+lite_no_attn_mc,12.0
ur3,50,5.0,0.0,matched_tcn+lite_no_attn_mc,30.0
ur3,50,5.0,0.25,matched_tcn+lite_no_attn_mc,30.0
ur3,50,5.0,0.5,matched_tcn+lite_no_attn_mc,30.0
ur3,50,5.0,1.0,matched_tcn+lite_no_attn_mc,30.0
ur3,50,5.0,2.0,matched_tcn+lite_no_attn_mc,30.0
ur3,50,5.0,5.0,matched_tcn+lite_no_attn_mc,30.0
ur3,100,0.5,0.0,matched_tcn+lite_no_attn_mc,3.0
ur3,100,0.5,0.25,matched_tcn+lite_no_attn_mc,3.0
ur3,100,0.5,0.5,matched_tcn+lite_no_attn_mc,3.0
ur3,100,0.5,1.0,matched_tcn+lite_no_attn_mc,3.0
ur3,100,0.5,2.0,matched_tcn+lite_no_attn_mc,3.0
ur3,100,0.5,5.0,matched_tcn+lite_no_attn_mc,3.0
ur3,100,1.0,0.0,matched_tcn+lite_no_attn_mc,6.0
ur3,100,1.0,0.25,matched_tcn+lite_no_attn_mc,6.0
ur3,100,1.0,0.5,matched_tcn+lite_no_attn_mc,6.0
ur3,100,1.0,1.0,matched_tcn+lite_no_attn_mc,6.0
ur3,100,1.0,2.0,matched_tcn+lite_no_attn_mc,6.0
ur3,100,1.0,5.0,matched_tcn+lite_no_attn_mc,6.0
ur3,100,2.0,0.0,matched_tcn+lite_no_attn_mc,12.0
ur3,100,2.0,0.25,matched_tcn+lite_no_attn_mc,12.0
ur3,100,2.0,0.5,matched_tcn+lite_no_attn_mc,12.0
ur3,100,2.0,1.0,matched_tcn+lite_no_attn_mc,12.0
ur3,100,2.0,2.0,matched_tcn+lite_no_attn_mc,12.0
ur3,100,2.0,5.0,matched_tcn+lite_no_attn_mc,12.0
ur3,100,5.0,0.0,matched_tcn+lite_no_attn_mc,30.0
ur3,100,5.0,0.25,matched_tcn+lite_no_attn_mc,30.0
ur3,100,5.0,0.5,matched_tcn+lite_no_attn_mc,30.0
ur3,100,5.0,1.0,matched_tcn+lite_no_attn_mc,30.0
ur3,100,5.0,2.0,matched_tcn+lite_no_attn_mc,30.0
ur3,100,5.0,5.0,matched_tcn+lite_no_attn_mc,30.0
ur3,500,0.5,0.0,matched_tcn+lite_no_attn_mc,3.0
ur3,500,0.5,0.25,matched_tcn+lite_no_attn_mc,3.0
ur3,500,0.5,0.5,matched_tcn+lite_no_attn_mc,3.0
ur3,500,0.5,1.0,matched_tcn+lite_no_attn_mc,3.0
ur3,500,0.5,2.0,matched_tcn+lite_no_attn_mc,3.0
