dataset,proposed,baseline,metric,proposed_value,baseline_value,diff_mean,diff_sd,ci_low,ci_high,ci_includes_zero,n_bootstrap,n_units
xjtu,proposed_lite,lstm,auc_roc,0.6497991312312394,0.71924622067452,-0.08257771883140003,0.16851835767845635,-0.386093178813098,0.20283673103365807,True,5000,4
xjtu,proposed_lite,lstm,auc_pr,0.4505336947801045,0.42362692731262697,0.039538906377212336,0.20271770455785554,-0.24424098290938961,0.4912994085985698,True,5000,4
xjtu,proposed_lite,tcn,f2,0.5533399800598205,0.652834008097166,-0.11062392352375687,0.05374746421598186,-0.22135827618856335,-0.0388830165886489,False,5000,4
xjtu,proposed_lite,tcn,auc_roc,0.6497991312312394,0.7272900399923825,-0.07962833766230577,0.05989997326128916,-0.27794117647058825,-0.011758102012836058,False,5000,4
xjtu,proposed_lite,tcn,auc_pr,0.4505336947801045,0.6924928583939124,-0.19451516379982225,0.07715350967987569,-0.3086871492715415,-0.034229259783840615,False,5000,4
xjtu,proposed_lite,timesnet,f2,0.5533399800598205,0.6659939455095862,-0.12256611302875706,0.05425638198746649,-0.24823390894819464,-0.04754925397310594,False,5000,4
xjtu,proposed_lite,timesnet,auc_roc,0.6497991312312394,0.734952979477832,-0.09602265333861558,0.11877074176842077,-0.35477941176470584,0.11651222574281106,True,5000,4
xjtu,proposed_lite,timesnet,auc_pr,0.4505336947801045,0.4666206690476176,0.0033692297606094015,0.20771185541572043,-0.34710580914297284,0.4099765758720392,True,5000,4
ur3,full,lstm,f2,0.7489775051124744,0.7477567298105683,0.0010906788964846071,0.017222483302757836,-0.030595873769962954,0.036717904680255306,True,5000,36
ur3,full,lstm,auc_roc,0.8452358761521811,0.8519958458711687,-0.006859598693619006,0.008632855888370431,-0.023385918516166244,0.010566177435128145,True,5000,36
ur3,full,lstm,auc_pr,0.7624465035370753,0.7646317468334217,-0.0011638471686954677,0.017333035894581038,-0.0323185784312982,0.03694344888867343,True,5000,36
ur3,full,tcn,f2,0.7489775051124744,0.7451923076923077,0.004662223044189268,0.016066600432496393,-0.029850138212706594,0.03378916603878016,True,5000,36
ur3,full,tcn,auc_roc,0.8452358761521811,0.8422800537145596,0.003146541596963997,0.01992073587017688,-0.036864738889260465,0.04176814171319893,True,5000,36
ur3,full,tcn,auc_pr,0.7624465035370753,0.6856895267007919,0.07265784514332266,0.04487645316136967,-0.013522160692178965,0.16090999685632695,True,5000,36
ur3,full,timesnet,f2,0.7489775051124744,0.7372654155495979,0.011400227468040487,0.034233103613222536,-0.049093083354551,0.08556867853374021,True,5000,36
ur3,full,timesnet,auc_roc,0.8452358761521811,0.8612893776795462,-0.016028209701207424,0.02404266938587685,-0.06409238203707666,0.030418094048090302,True,5000,36
ur3,full,timesnet,auc_pr,0.7624465035370753,0.7908861960998248,-0.02790511858309003,0.027626903076330575,-0.08371845960824606,0.0254282214657037,True,5000,36
ur3,proposed_lite,lstm,f2,0.7043935052531041,0.7477567298105683,-0.04354347427011362,0.013765645089542465,-0.0713007064014406,-0.01781293523892889,False,5000,36
ur3,proposed_lite,lstm,auc_roc,0.8212355109540421,0.8519958458711687,-0.029685033100267252,0.020137274253649615,-0.06760500679593902,0.012882247430663235,True,5000,36
ur3,proposed_lite,lstm,auc_pr,0.7574957267111,0.7646317468334217,-0.005484610690418954,0.03015984018807146,-0.05712750777395348,0.06227340847352173,True,5000,36
ur3,proposed_lite,tcn,f2,0.7043935052531041,0.7451923076923077,-0.03997193012240896,0.029532955473979484,-0.10054289371413093,0.01225107843943265,True,5000,36
ur3,proposed_lite,tcn,auc_roc,0.8212355109540421,0.8422800537145596,-0.019678892809684247,0.0308778733179693,-0.08071388151767438,0.03878011841681599,True,5000,36
ur3,proposed_lite,tcn,auc_pr,0.7574957267111,0.6856895267007919,0.06833708162159918,0.04582275719112223,-0.02295465435634609,0.16027834315793354,True,5000,36
ur3,proposed_lite,timesnet,f2,0.7043935052531041,0.7372654155495979,-0.033233925698557744,0.026295487624209267,-0.08419272850360805,0.018166352264451638,True,5000,36
ur3,proposed_lite,timesnet,auc_roc,0.8212355109540421,0.8612893776795462,-0.03885364410785567,0.02449679460619636,-0.08793148958268754,0.006204114874132123,True,5000,36
ur3,proposed_lite,timesnet,auc_pr,0.7574957267111,0.7908861960998248,-0.032225882104813516,0.032374706642532766,-0.09847335268704219,0.028736124516575742,True,5000,36
