dataset,seed,pooling,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
cmapss_fd003,3,terminal_state,0.35000000000000003,13696,291,13405,0.9881717289719626,0.6449438202247191,0.9862542955326461,0.779891304347826,0.891858297078931,0.9988394851897854,0.9531137095809861,0.00774808963598762,0.010522531380302437
cmapss_fd003,4,learned_attention,0.47000000000000003,13696,291,13405,0.9917494158878505,0.7367021276595744,0.9518900343642611,0.8305847076461769,0.8993506493506493,0.9948872747128514,0.9184113831748664,0.00620394026582857,0.00608259044590009
cmapss_fd003,4,uniform_mean,0.52,13696,291,13405,0.9890478971962616,0.6793893129770993,0.9175257731958762,0.7807017543859649,0.8574181117533719,0.9900332106679177,0.8279228446266863,0.009240122376477814,0.01493584492005692
cmapss_fd003,4,terminal_state,0.61,13696,291,13405,0.990070093457944,0.6858513189448441,0.9828178694158075,0.807909604519774,0.9044908285895004,0.9985674935366734,0.947475432258414,0.00864745579729522,0.012178023628306806
cmapss_fd003,5,learned_attention,0.35000000000000003,13696,291,13405,0.9895589953271028,0.6796116504854369,0.9621993127147767,0.7965860597439545,0.8883248730964467,0.9956348031393117,0.9199173986175055,0.006358439553872746,0.007704047886210698
cmapss_fd003,5,uniform_mean,0.66,13696,291,13405,0.9903621495327103,0.7043701799485861,0.9415807560137457,0.8058823529411765,0.8821635544108177,0.9910691374070556,0.9027176192508614,0.008759054404266163,0.009729782258784039
cmapss_fd003,5,terminal_state,0.42000000000000004,13696,291,13405,0.9903621495327103,0.6943765281173594,0.9759450171821306,0.8114285714285714,0.9027336300063573,0.9982516653400345,0.9499509439957147,0.0064131564598643685,0.007777827845521328
xjtu,1,learned_attention,0.88,800,177,623,0.6975,0.3800738007380074,0.5819209039548022,0.45982142857142855,0.526046986721144,0.6661678954575547,0.32659554827270776,0.26497491655615996,0.21711199481971563
xjtu,1,uniform_mean,0.91,800,177,623,0.685,0.36462093862815886,0.5706214689265536,0.44493392070484583,0.5126903553299492,0.6704754649907954,0.4210254939146524,0.2810616265293687,0.2354739804007113
xjtu,1,terminal_state,0.88,800,177,623,0.71375,0.4097222222222222,0.6666666666666666,0.5075268817204301,0.5923694779116466,0.7062328264004135,0.35864764409087113,0.23406482868898537,0.1971061549335718
xjtu,2,learned_attention,0.85,800,177,623,0.7175,0.403921568627451,0.5819209039548022,0.47685185185185186,0.5347871235721703,0.690916015996953,0.4791555607112746,0.22628778446251047,0.16229625389911234
xjtu,2,uniform_mean,0.86,800,177,623,0.72625,0.4146341463414634,0.576271186440678,0.48226950354609927,0.5345911949685535,0.6684531744520319,0.4434593811931479,0.22370553071289884,0.16071624018251898
