dataset,model,method,threshold,f2,auc_roc,auc_pr,brier,ece,coverage
xjtu,proposed_lite,temperature (T=5.00),0.59,0.5527123848515865,0.6421180546109132,0.4105631928105044,0.2780989342906038,0.33558897733688353,1.0
xjtu,proposed_lite,isotonic,0.18000000000000002,0.5241090146750524,0.6863454580079986,0.35369420528804196,0.2535202925769562,0.022168763577938077,1.0
xjtu,proposed_lite,MC-reject 10%,0.88,0.5157232704402516,0.6171480144404331,0.4007463263308233,0.4101404862968703,0.5013096376576207,0.88
xjtu,proposed_lite,MC-reject 10%+temp,0.6,0.5183312262958281,0.6171480144404331,0.4007463263308233,0.27541947539090805,0.338656948371367,0.88
xjtu,proposed_lite,MC-reject 20%,0.88,0.45454545454545453,0.548003098060345,0.34436454651808046,0.40894603189392864,0.5103982705029713,0.785
xjtu,proposed_lite,MC-reject 20%+temp,0.6,0.4552980132450331,0.548003098060345,0.34436454651808046,0.2765736848427908,0.36153762583520005,0.785
xjtu,proposed_lite,MC-reject 30%,0.88,0.407098121085595,0.4885232179046612,0.3072667607956249,0.39451963862786393,0.5029382957821399,0.70625
xjtu,proposed_lite,MC-reject 30%+temp,0.6,0.40794979079497906,0.4885232179046612,0.3072667607956249,0.27431712325616064,0.36866786923028727,0.70625
xjtu,lstm,raw,0.9600000000000001,0.6135902636916836,0.6718085444042404,0.3326586099185125,0.34146259601172035,0.4175767908245325,1.0
xjtu,lstm,temperature (T=5.00),0.65,0.62058526740666,0.6718040101205213,0.33265656228350166,0.26429214123324907,0.3314779037237167,1.0
xjtu,lstm,isotonic,0.15000000000000002,0.6123481781376519,0.7083594054647188,0.35431985875346794,0.2593305754149764,0.01501165047287941,1.0
xjtu,tcn,raw,0.9600000000000001,0.6512820512820513,0.7188063951537574,0.6352960539603059,0.3972282689285626,0.5003558939695358,1.0
xjtu,tcn,temperature (T=5.00),0.66,0.6481481481481481,0.7188063951537575,0.6352960539603059,0.2876949354906707,0.4027362249046565,1.0
xjtu,tcn,isotonic,0.18000000000000002,0.6512820512820513,0.7496032501745699,0.4089671966283904,0.22975921958753612,0.016501938756555323,1.0
xjtu,timesnet,raw,0.76,0.6554121151936445,0.7017076112486511,0.3426183394222339,0.30908189486045545,0.36015237421263013,1.0
