dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
xjtu,3,lstm,3,0.86,4,0,0.5,0.5,0.0,,31.0
xjtu,3,tcn,1,0.93,4,0,0.5,0.5,0.0,,27.5
xjtu,3,tcn,2,0.93,4,0,0.5,0.5,0.0,,28.5
xjtu,3,tcn,3,0.93,4,0,0.5,0.5,0.0,,29.5
xjtu,3,timesnet,1,0.48000000000000004,4,0,0.25,0.75,0.0,,45.0
xjtu,3,timesnet,2,0.48000000000000004,4,0,0.25,0.75,0.0,,46.0
xjtu,3,timesnet,3,0.48000000000000004,4,0,0.25,0.75,0.0,,47.0
xjtu,4,full,1,0.85,4,0,0.5,0.5,0.0,,31.0
xjtu,4,full,2,0.85,4,0,0.5,0.5,0.0,,32.0
xjtu,4,full,3,0.85,4,0,0.5,0.5,0.0,,33.0
xjtu,4,proposed_lite,1,0.8,4,0,0.5,0.5,0.0,,31.0
xjtu,4,proposed_lite,2,0.8,4,0,0.5,0.5,0.0,,33.0
xjtu,4,proposed_lite,3,0.8,4,0,0.5,0.5,0.0,,34.0
xjtu,4,lstm,1,0.91,4,0,0.25,0.75,0.0,,55.0
xjtu,4,lstm,2,0.91,4,0,0.5,0.5,0.0,,30.5
xjtu,4,lstm,3,0.91,4,0,0.5,0.5,0.0,,31.5
xjtu,4,tcn,1,0.91,4,0,0.5,0.5,0.0,,24.5
xjtu,4,tcn,2,0.91,4,0,0.5,0.5,0.0,,25.5
xjtu,4,tcn,3,0.91,4,0,0.5,0.5,0.0,,26.5
xjtu,4,timesnet,1,0.5,4,0,0.25,0.75,0.0,,45.0
xjtu,4,timesnet,2,0.5,4,0,0.25,0.75,0.0,,46.0
xjtu,4,timesnet,3,0.5,4,0,0.25,0.75,0.0,,47.0
xjtu,5,full,1,0.8400000000000001,4,0,0.5,0.5,0.0,,35.5
xjtu,5,full,2,0.8400000000000001,4,0,0.5,0.5,0.0,,36.5
xjtu,5,full,3,0.8400000000000001,4,0,0.25,0.5,0.25,,64.0
xjtu,5,proposed_lite,1,0.76,4,0,0.5,0.5,0.0,,37.5
xjtu,5,proposed_lite,2,0.76,4,0,0.5,0.5,0.0,,38.5
xjtu,5,proposed_lite,3,0.76,4,0,0.5,0.5,0.0,,39.5
xjtu,5,lstm,1,0.88,4,0,0.5,0.5,0.0,,29.5
xjtu,5,lstm,2,0.88,4,0,0.5,0.5,0.0,,30.5
xjtu,5,lstm,3,0.88,4,0,0.5,0.5,0.0,,31.5
xjtu,5,tcn,1,0.98,4,0,0.25,0.75,0.0,,46.0
xjtu,5,tcn,2,0.98,4,0,0.25,0.75,0.0,,47.0
xjtu,5,tcn,3,0.98,4,0,0.5,0.5,0.0,,24.0
xjtu,5,timesnet,1,0.49,4,0,0.25,0.75,0.0,,45.0
xjtu,5,timesnet,2,0.49,4,0,0.25,0.75,0.0,,46.0
xjtu,5,timesnet,3,0.49,4,0,0.25,0.75,0.0,,47.0
ur3,1,full,1,0.27,25,11,0.88,0.12,0.0,0.8181818181818182,0.0
ur3,1,full,2,0.27,25,11,0.88,0.12,0.0,0.8181818181818182,1.0
ur3,1,full,3,0.27,25,11,0.88,0.12,0.0,0.7272727272727273,2.0
ur3,1,proposed_lite,1,0.14,25,11,0.88,0.12,0.0,1.0,0.0
ur3,1,proposed_lite,2,0.14,25,11,0.88,0.12,0.0,1.0,1.0
ur3,1,proposed_lite,3,0.14,25,11,0.88,0.12,0.0,0.9090909090909091,2.0
ur3,1,lstm,1,0.15000000000000002,25,11,0.88,0.12,0.0,0.7272727272727273,0.0
ur3,1,lstm,2,0.15000000000000002,25,11,0.88,0.12,0.0,0.7272727272727273,1.0
ur3,1,lstm,3,0.15000000000000002,25,11,0.92,0.08,0.0,0.6363636363636364,2.0
ur3,1,tcn,1,0.24000000000000002,25,11,0.88,0.12,0.0,0.8181818181818182,0.0
ur3,1,tcn,2,0.24000000000000002,25,11,0.92,0.08,0.0,0.8181818181818182,1.0
ur3,1,tcn,3,0.24000000000000002,25,11,0.92,0.08,0.0,0.7272727272727273,2.0
ur3,1,timesnet,1,0.27,25,11,0.88,0.12,0.0,0.7272727272727273,0.0
ur3,1,timesnet,2,0.27,25,11,0.88,0.12,0.0,0.7272727272727273,1.0
ur3,1,timesnet,3,0.27,25,11,0.92,0.04,0.04,0.36363636363636365,2.0
ur3,2,full,1,0.17,25,11,0.88,0.12,0.0,1.0,0.0
ur3,2,full,2,0.17,25,11,0.88,0.12,0.0,0.9090909090909091,1.0
ur3,2,full,3,0.17,25,11,0.92,0.08,0.0,0.6363636363636364,2.0
ur3,2,proposed_lite,1,0.08,25,11,0.88,0.12,0.0,0.9090909090909091,0.0
ur3,2,proposed_lite,2,0.08,25,11,0.88,0.12,0.0,0.9090909090909091,1.0
ur3,2,proposed_lite,3,0.08,25,11,0.88,0.12,0.0,0.7272727272727273,2.0
ur3,2,lstm,1,0.27,25,11,0.88,0.12,0.0,0.6363636363636364,0.0
ur3,2,lstm,2,0.27,25,11,0.88,0.12,0.0,0.6363636363636364,1.0
ur3,2,lstm,3,0.27,25,11,0.92,0.08,0.0,0.6363636363636364,2.0
ur3,2,tcn,1,0.25,25,11,0.88,0.12,0.0,1.0,0.0
ur3,2,tcn,2,0.25,25,11,0.88,0.12,0.0,0.8181818181818182,1.0
ur3,2,tcn,3,0.25,25,11,0.92,0.08,0.0,0.7272727272727273,2.0
ur3,2,timesnet,1,0.39,25,11,0.88,0.12,0.0,0.5454545454545454,0.0
ur3,2,timesnet,2,0.39,25,11,0.92,0.08,0.0,0.45454545454545453,1.0
ur3,2,timesnet,3,0.39,25,11,0.92,0.08,0.0,0.2727272727272727,2.0
ur3,3,full,1,0.09999999999999999,25,11,0.88,0.12,0.0,1.0,0.0
ur3,3,full,2,0.09999999999999999,25,11,0.88,0.12,0.0,1.0,1.0
ur3,3,full,3,0.09999999999999999,25,11,0.88,0.12,0.0,0.8181818181818182,2.0
ur3,3,proposed_lite,1,0.17,25,11,0.88,0.12,0.0,1.0,0.0
ur3,3,proposed_lite,2,0.17,25,11,0.88,0.12,0.0,0.8181818181818182,1.0
ur3,3,proposed_lite,3,0.17,25,11,0.88,0.12,0.0,0.8181818181818182,2.0
