dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
cmapss_fd001,full,4,random,0.2,6,0.2805466949939728,0.01995192840695381
cmapss_fd001,full,4,high,0.3,9,0.583031415939331,0.031831517815589905
cmapss_fd001,full,4,low,0.3,9,-0.12137803435325623,0.048666056245565414
cmapss_fd001,full,4,random,0.3,9,0.3699009120464325,0.02513011172413826
cmapss_fd001,full,4,high,0.4,12,0.6314696073532104,0.033944107592105865
cmapss_fd001,full,4,low,0.4,12,-0.12353150546550751,0.057589709758758545
cmapss_fd001,full,4,random,0.4,12,0.4550853967666626,0.02924462780356407
cmapss_fd001,full,4,high,0.5,15,0.6325961351394653,0.03524025157094002
cmapss_fd001,full,4,low,0.5,15,-0.12096431106328964,0.060526780784130096
cmapss_fd001,full,4,random,0.5,15,0.5383422374725342,0.032890550792217255
cmapss_fd001,full,4,high,0.6,18,0.6150743961334229,0.035193901509046555
cmapss_fd001,full,4,low,0.6,18,-0.10944251716136932,0.057687386870384216
cmapss_fd001,full,4,random,0.6,18,0.5955536365509033,0.03471175208687782
cmapss_fd001,full,4,high,0.7,21,0.6228388547897339,0.03587424382567406
cmapss_fd001,full,4,low,0.7,21,-0.08415272831916809,0.049705084413290024
cmapss_fd001,full,4,random,0.7,21,0.6633130311965942,0.0369766540825367
cmapss_fd001,full,4,high,0.8,24,0.6674665212631226,0.036527037620544434
cmapss_fd001,full,4,low,0.8,24,-0.012332838959991932,0.03666657954454422
cmapss_fd001,full,4,random,0.8,24,0.7495231032371521,0.03872505947947502
cmapss_fd001,full,4,high,0.9,27,0.792066752910614,0.04003593325614929
cmapss_fd001,full,4,low,0.9,27,0.569444477558136,0.032725658267736435
cmapss_fd001,full,4,random,0.9,27,0.7963529825210571,0.04037002474069595
cmapss_fd001,full,4,high,1.0,30,0.8204739093780518,0.0414024256169796
cmapss_fd001,full,4,low,1.0,30,0.8204739093780518,0.0414024256169796
cmapss_fd001,full,4,random,1.0,30,0.8204739093780518,0.0414024256169796
cmapss_fd001,full,4,randomized_attn,0.1,3,0.2903808653354645,0.02200712449848652
cmapss_fd001,full,4,randomized_attn,0.2,6,0.4580076336860657,0.033823996782302856
cmapss_fd001,full,4,randomized_attn,0.3,9,0.4417177736759186,0.04113725572824478
cmapss_fd001,full,4,randomized_attn,0.4,12,0.40767109394073486,0.05024642124772072
cmapss_fd001,full,4,randomized_attn,0.5,15,0.3625512421131134,0.05664888769388199
cmapss_fd001,full,4,randomized_attn,0.6,18,0.3586595952510834,0.060455214232206345
