model,family,seed,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold,dataset
full,proposed/ablation,2,800,177,623,0.72,0.4085603112840467,0.5932203389830508,0.4838709677419355,0.5440414507772021,0.6750188172774346,0.4041465086534133,0.2264884018656194,0.1619970119558274,0.85,xjtu
full,proposed/ablation,3,800,177,623,0.71375,0.4022556390977443,0.6045197740112994,0.4830699774266365,0.5492813141683778,0.6798070208849107,0.4529734722092304,0.2461380110407697,0.2220913681946694,0.88,xjtu
full,proposed/ablation,4,800,177,623,0.71875,0.4136690647482014,0.6497175141242938,0.5054945054945055,0.5831643002028397,0.8014890587733856,0.4579055199124189,0.2329204124852902,0.2307935523614287,0.86,xjtu
full,proposed/ablation,5,800,177,623,0.7125,0.3992395437262357,0.5932203389830508,0.4772727272727273,0.5406797116374872,0.6775942904299409,0.4504070857607962,0.2341343607378447,0.1778909173235297,0.8400000000000001,xjtu
full,proposed/ablation,6,800,177,623,0.73625,0.4285714285714285,0.576271186440678,0.491566265060241,0.5391120507399577,0.67839232436452,0.4494811542359584,0.2506375370769358,0.2190281972475349,0.89,xjtu
full,proposed/ablation,7,800,177,623,0.72125,0.4065040650406504,0.5649717514124294,0.4728132387706856,0.5241090146750524,0.7265010746252415,0.4145287528284722,0.2449093998656711,0.1988548005744815,0.92,xjtu
full,proposed/ablation,8,800,177,623,0.72,0.4078431372549019,0.5875706214689266,0.4814814814814814,0.5399792315680166,0.8006366134341758,0.4525847469517455,0.278742844388773,0.3104169820249081,0.93,xjtu
full,proposed/ablation,9,800,177,623,0.73875,0.4327731092436975,0.5819209039548022,0.4963855421686747,0.5443974630021141,0.7588667918128972,0.436692946960832,0.2386310060140287,0.204794771624729,0.92,xjtu
full,proposed/ablation,10,800,177,623,0.71125,0.3984962406015037,0.5988700564971752,0.4785553047404063,0.5441478439425051,0.6714458017067043,0.4593839679564732,0.2405411972471157,0.1758196042850613,0.8,xjtu
proposed_lite,proposed/ablation,1,800,177,623,0.68875,0.3783783783783784,0.632768361581921,0.4735729386892177,0.5577689243027888,0.6669205865549419,0.4426321157028718,0.2389940886622366,0.2444473586417734,0.7100000000000001,xjtu
