dataset,model,kind,seed,params,units_1,units_2,channels,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd003,matched_lstm,lstm,4,9413,25,24,0,0.3,0.896875,0.9985628791636706,0.9409024155833379,0.006896939643816028,0.008880485000037673
cmapss_fd003,matched_lstm,lstm,5,9413,25,24,0,0.72,0.9102564102564102,0.9984482889007666,0.935444830712518,0.008769500966443244,0.011956431717646121
cmapss_fd003,matched_lstm,lstm,6,9413,25,24,0,0.35000000000000003,0.8918406072106262,0.9976002696844666,0.9293783383912545,0.006924258867211623,0.008357327268241304
cmapss_fd003,matched_lstm,lstm,7,9413,25,24,0,0.46,0.8971141781681304,0.9985298094904834,0.9359603166435707,0.007750663625428108,0.012067853935558193
cmapss_fd003,matched_lstm,lstm,8,9413,25,24,0,0.34,0.8967904342353682,0.9987938541678684,0.9510759861539452,0.007060389488770243,0.009145491388663458
cmapss_fd003,matched_lstm,lstm,9,9413,25,24,0,0.41000000000000003,0.8958602846054333,0.9962013456024384,0.9398916745387431,0.006385907470036096,0.007169528470504387
cmapss_fd003,matched_lstm,lstm,10,9413,25,24,0,0.66,0.9096774193548387,0.9985962051909132,0.943776170003563,0.0075759962896482045,0.010800020692092922
cmapss_fd003,matched_gru,gru,1,9632,29,29,0,0.51,0.8934269304403318,0.9976899936039664,0.9072428854768709,0.007965092199178547,0.009418389341998224
cmapss_fd003,matched_gru,gru,2,9632,29,29,0,0.39,0.8924129353233831,0.9988666587196909,0.9557796382772141,0.00714348655567208,0.010897908534524986
cmapss_fd003,matched_gru,gru,3,9632,29,29,0,0.65,0.9061696658097687,0.9988635824710224,0.9553401063464317,0.007595791313830331,0.010363572691773282
cmapss_fd003,matched_gru,gru,4,9632,29,29,0,0.5,0.8941252420916721,0.9986418362128303,0.9455058881227679,0.006251719725378361,0.007181666361316062
cmapss_fd003,matched_gru,gru,5,9632,29,29,0,0.5700000000000001,0.9050350541746335,0.9989028046415465,0.9547738650904856,0.007307471158237088,0.010226170617642878
cmapss_fd003,matched_gru,gru,6,9632,29,29,0,0.5700000000000001,0.8827361563517915,0.9984834094063993,0.9371125638712605,0.006507441100327851,0.007810185361483838
cmapss_fd003,matched_gru,gru,7,9632,29,29,0,0.44,0.9050064184852374,0.9985921035260218,0.9407102883655664,0.0064153548613687,0.006839151571784045
cmapss_fd003,matched_gru,gru,8,9632,29,29,0,0.33,0.9044585987261147,0.998748479500007,0.9513948084949468,0.006625074287275254,0.007128914021152831
cmapss_fd003,matched_gru,gru,9,9632,29,29,0,0.6900000000000001,0.9020618556701031,0.9986136372667018,0.9420608464390052,0.008150984836907378,0.009507055046414508
cmapss_fd003,matched_gru,gru,10,9632,29,29,0,0.52,0.8986615678776291,0.9983883020517297,0.9305281324006388,0.0073036118172043595,0.008788861938317613
cmapss_fd003,matched_tcn,tcn,1,8992,0,0,17,0.44,0.90153452685422,0.9983070378160684,0.9465027622050275,0.0065510112010292824,0.008786591095962071
