dataset,model,uncertainty,replicate,seed,target_coverage,actual_coverage,risk,n_kept,n_test_windows
cmapss_fd001,full,seed_ensemble,ensemble,0,0.85,0.9377206747744213,0.0029285639577450056,9561,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.9,0.9591016084739113,0.00572655690765927,9779,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.95,0.9774421341702628,0.010234798314268514,9966,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,1.0,1.0,0.018242448018830914,10196,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.5,0.6288740682620636,0.00031191515907673113,6412,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.55,0.6805610043154178,0.0002882259691598213,6939,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.6,0.7319537073362102,0.00026798874447273214,7463,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.65,0.7847194978422911,0.0003749531308586427,8001,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.7,0.8337583366025892,0.0003528996588636631,8501,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.75,0.870733621027854,0.0004505519261094841,8878,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.8,0.9061396626127893,0.0007576577551683082,9239,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.85,0.9343860337387211,0.0019943318988138972,9527,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.9,0.9589054531188701,0.005318604889025263,9777,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.95,0.9799921537857984,0.0122097678142514,9992,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,1,1.0,1.0,0.020302079246763437,10196,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.5,0.6395645351118086,0.0,6521,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.55,0.6905649274225186,0.000142025280499929,7041,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.6,0.749509611612397,0.00013085579691180318,7642,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.65,0.8020792467634367,0.00024455857177794083,8178,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.7,0.853766182816791,0.00022975301550832856,8705,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.75,0.8907414672420557,0.00022021581149526536,9082,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.8,0.9158493526873284,0.0005354465624330692,9338,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.85,0.932718713220871,0.0014721345951629863,9510,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.9,0.9579246763436642,0.004812122453158595,9767,10196
cmapss_fd001,proposed_lite,confidence,seed,1,0.95,0.9797959984307572,0.011011011011011011,9990,10196
cmapss_fd001,proposed_lite,confidence,seed,1,1.0,1.0,0.020302079246763437,10196,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.5,0.6005296194586113,0.0004899559039686428,6123,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.55,0.6591800706159278,0.0004463621484898081,6721,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.6,0.7116516280894468,0.0005512679162072767,7256,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.65,0.7680462926637898,0.0007661856723279274,7831,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.7,0.8170851314240879,0.0007202016564638099,8331,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.75,0.8621027854060416,0.0009101251422070534,8790,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.8,0.8967242055708121,0.0010937329104232746,9143,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.85,0.9329148685759121,0.0022077375946173254,9512,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.9,0.9569438995684583,0.005534488059854463,9757,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.95,0.9794036877206748,0.012317244141798517,9986,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,2,1.0,1.0,0.022459788152216557,10196,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.5,0.6271086700666928,0.00031279324366593683,6394,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.55,0.6805610043154178,0.00043233895373973193,6939,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.6,0.7346018046292664,0.0006675567423230974,7490,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.65,0.7900156924284033,0.0006207324643078833,8055,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.7,0.840623774029031,0.0005833625014584063,8571,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.75,0.8802471557473519,0.0006685236768802228,8975,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.8,0.9132993330717929,0.0010738831615120276,9312,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.85,0.9370341310317771,0.0018840276324052752,9554,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.9,0.9553746567281287,0.004106354583718304,9741,10196
cmapss_fd001,proposed_lite,confidence,seed,2,0.95,0.97861906630051,0.011525355782721989,9978,10196
cmapss_fd001,proposed_lite,confidence,seed,2,1.0,1.0,0.022459788152216557,10196,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.5,0.7012553942722637,0.0,7150,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.55,0.7634366418203217,0.0,7784,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.6,0.8097293056100432,0.00012112403100775194,8256,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.65,0.8485680659081993,0.00034674063800277393,8652,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.7,0.8775990584542958,0.0003352704514975414,8948,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.75,0.904766575127501,0.0005420054200542005,9225,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.8,0.920066692820714,0.001812173542266283,9381,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.85,0.9361514319340918,0.004504976427448926,9545,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.9,0.9545900353079639,0.009863351484639885,9733,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.95,0.978128677912907,0.016143587686754238,9973,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,3,1.0,1.0,0.019811690859160454,10196,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.5,0.7018438603373872,0.0,7156,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.55,0.7526480972930562,0.0,7674,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.6,0.7955080423695566,0.00012328936012822092,8111,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.65,0.8311102393095332,0.0001180080245456691,8474,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.7,0.8653393487642213,0.00011334013374135781,8823,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.75,0.8917222440172616,0.0004399472063352398,9092,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.8,0.9144762652020401,0.0005362505362505362,9324,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.85,0.9344841114162417,0.0028337531486146094,9528,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.9,0.9529227147901138,0.007616303005351997,9716,10196
cmapss_fd001,proposed_lite,confidence,seed,3,0.95,0.9762652020400157,0.0162748643761302,9954,10196
cmapss_fd001,proposed_lite,confidence,seed,3,1.0,1.0,0.019811690859160454,10196,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.5,0.6565319733228717,0.0,6694,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.55,0.7097881522165556,0.0,7237,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.6,0.7576500588466065,0.00012944983818770226,7725,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.65,0.8092389172224401,0.00012119743061447097,8251,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.7,0.8481757551981169,0.0003469010175763182,8648,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.75,0.8764221263240487,0.0003357206803939123,8936,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.8,0.9081012161632013,0.0005400151204233718,9259,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.85,0.9315417810906238,0.0012634238787113076,9498,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.9,0.9535111808552373,0.002880065830076116,9722,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.95,0.9762652020400157,0.009644364074743821,9954,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,4,1.0,1.0,0.018046292663789723,10196,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.5,0.6482934484111417,0.0,6610,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.55,0.7109650843468027,0.0,7249,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.6,0.7671635935661043,0.0,7822,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.65,0.8193409180070615,0.00023940627244433804,8354,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.7,0.8571989015300118,0.00034324942791762013,8740,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.75,0.8883876029815614,0.00044159858688452196,9058,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.8,0.9142801098469988,0.00042909246942716153,9322,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.85,0.9340918007061593,0.0007349853002939942,9524,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.9,0.9525304040800314,0.002574135090609555,9712,10196
cmapss_fd001,proposed_lite,confidence,seed,4,0.95,0.9765594350725775,0.00974189012754846,9957,10196
cmapss_fd001,proposed_lite,confidence,seed,4,1.0,1.0,0.018046292663789723,10196,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.5,0.7046881129854845,0.0002783576896311761,7185,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.55,0.7525500196155355,0.00026065424214779094,7673,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.6,0.7970772852098862,0.0002460932693490833,8127,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.65,0.8397410749313456,0.000233590282644242,8562,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.7,0.8757355825814045,0.00022398924851607123,8929,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.75,0.9030011769321302,0.00032583903551645487,9207,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.8,0.9221263240486465,0.0008508827908955541,9402,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.85,0.9377206747744213,0.0019872398284698253,9561,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.9,0.9575323656335818,0.006657789613848202,9763,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.95,0.9771479011377011,0.011442336645588679,9963,10196
cmapss_fd001,proposed_lite,mc_dropout,seed,5,1.0,1.0,0.024617497057669673,10196,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.5,0.7269517457826599,0.0002698327037236913,7412,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.55,0.774029030992546,0.00025342118601115053,7892,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.6,0.8110043154178109,0.00024186721489902045,8269,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.65,0.8502353864260495,0.00023070711731456916,8669,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.7,0.8789721459395842,0.0003347467083240348,8962,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.75,0.904766575127501,0.0003252032520325203,9225,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.8,0.9237936445664967,0.0007431786813886825,9419,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.85,0.9379168301294626,0.0019868242183415244,9563,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.9,0.9581208316987053,0.006448971235540997,9769,10196
cmapss_fd001,proposed_lite,confidence,seed,5,0.95,0.976657512750098,0.010745129544085158,9958,10196
cmapss_fd001,proposed_lite,confidence,seed,5,1.0,1.0,0.024617497057669673,10196,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.5,0.6786975284425265,0.00014450867052023122,6920,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.55,0.7253825029423303,0.00013520822065981613,7396,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.6,0.7807963907414672,0.00012561236025624922,7961,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.65,0.8232640251078854,0.00011913271384322135,8394,10196
