dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
xjtu,full,5,randomized_attn,0.2,4,0.00800106581300497,0.01079627312719822
xjtu,full,5,randomized_attn,0.3,6,0.009842939674854279,0.011835873126983643
xjtu,full,5,randomized_attn,0.4,8,0.01330514531582594,0.012878727167844772
xjtu,full,5,randomized_attn,0.5,10,0.015937834978103638,0.013545580208301544
xjtu,full,5,randomized_attn,0.6,12,0.01644217222929001,0.014034508727490902
xjtu,full,5,randomized_attn,0.7,14,0.014737436547875404,0.013703304342925549
xjtu,full,5,randomized_attn,0.8,16,0.016260260716080666,0.01520622055977583
xjtu,full,5,randomized_attn,0.9,18,0.029045244678854942,0.026263242587447166
xjtu,full,5,randomized_attn,1.0,20,0.46127501130104065,0.2768147587776184
xjtu,softmax,1,high,0.1,2,-0.005418900866061449,0.008974673226475716
xjtu,softmax,1,low,0.1,2,0.0013388794614002109,0.004950886592268944
xjtu,softmax,1,random,0.1,2,0.003981543704867363,0.005682182963937521
xjtu,softmax,1,high,0.2,4,-0.008130921050906181,0.02435915544629097
xjtu,softmax,1,low,0.2,4,0.005802476312965155,0.007804970722645521
xjtu,softmax,1,random,0.2,4,0.0032161951530724764,0.008756104856729507
xjtu,softmax,1,high,0.3,6,-0.0066634672693908215,0.053528785705566406
xjtu,softmax,1,low,0.3,6,0.012495983392000198,0.011271582916378975
xjtu,softmax,1,random,0.3,6,0.007966038770973682,0.011961936950683594
xjtu,softmax,1,high,0.4,8,-0.002893265336751938,0.12274929136037827
xjtu,softmax,1,low,0.4,8,0.017285866662859917,0.014641937799751759
xjtu,softmax,1,random,0.4,8,0.0021356099750846624,0.015762604773044586
xjtu,softmax,1,high,0.5,10,0.0035228352062404156,0.1646658480167389
xjtu,softmax,1,low,0.5,10,0.025318121537566185,0.017604520544409752
xjtu,softmax,1,random,0.5,10,0.006637467537075281,0.025271134451031685
xjtu,softmax,1,high,0.6,12,0.009784186258912086,0.18105439841747284
xjtu,softmax,1,low,0.6,12,0.020931484177708626,0.020922789350152016
xjtu,softmax,1,random,0.6,12,0.0022206827998161316,0.031246786937117577
xjtu,softmax,1,high,0.7,14,0.004519919399172068,0.18604092299938202
xjtu,softmax,1,low,0.7,14,0.014694346114993095,0.024714941158890724
xjtu,softmax,1,random,0.7,14,0.004749666433781385,0.05794850364327431
xjtu,softmax,1,high,0.8,16,0.017231233417987823,0.20013423264026642
xjtu,softmax,1,low,0.8,16,0.008892491459846497,0.03051728941500187
xjtu,softmax,1,random,0.8,16,-0.020567629486322403,0.10439462959766388
xjtu,softmax,1,high,0.9,18,0.02356538735330105,0.2209833264350891
xjtu,softmax,1,low,0.9,18,0.0014405061956495047,0.0485675185918808
xjtu,softmax,1,random,0.9,18,-0.07940942049026489,0.22442644834518433
xjtu,softmax,1,high,1.0,20,-0.19787739217281342,0.4319206178188324
xjtu,softmax,1,low,1.0,20,-0.19787739217281342,0.4319206178188324
xjtu,softmax,1,random,1.0,20,-0.19787739217281342,0.4319206178188324
