dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,lite_no_mc,50,0.5,0.5,4,2,21,212.5
cmapss_fd001,lite_no_mc,50,0.5,1.0,4,2,21,224.0
cmapss_fd001,lite_no_mc,50,0.5,2.0,4,2,21,247.0
cmapss_fd001,lite_no_mc,50,0.5,5.0,4,2,21,316.0
cmapss_fd001,matched_tcn,50,1.0,0.0,2,2,23,102.0
cmapss_fd001,matched_tcn,50,1.0,0.25,2,2,23,102.0
cmapss_fd001,matched_tcn,50,1.0,0.5,2,2,23,102.0
cmapss_fd001,matched_tcn,50,1.0,1.0,2,2,23,102.0
cmapss_fd001,matched_tcn,50,1.0,2.0,2,2,23,102.0
cmapss_fd001,matched_tcn,50,1.0,5.0,2,2,23,102.0
cmapss_fd001,full_mc,50,1.0,0.0,1,2,24,52.0
cmapss_fd001,full_mc,50,1.0,0.25,1,2,24,58.5
cmapss_fd001,full_mc,50,1.0,0.5,1,2,24,65.0
cmapss_fd001,full_mc,50,1.0,1.0,1,2,24,78.0
cmapss_fd001,full_mc,50,1.0,2.0,1,2,24,104.0
cmapss_fd001,full_mc,50,1.0,5.0,1,2,24,182.0
cmapss_fd001,lite_mc,50,1.0,0.0,4,2,21,202.0
cmapss_fd001,lite_mc,50,1.0,0.25,4,2,21,207.75
cmapss_fd001,lite_mc,50,1.0,0.5,4,2,21,213.5
cmapss_fd001,lite_mc,50,1.0,1.0,4,2,21,225.0
cmapss_fd001,lite_mc,50,1.0,2.0,4,2,21,248.0
cmapss_fd001,lite_mc,50,1.0,5.0,4,2,21,317.0
cmapss_fd001,lite_no_attn_mc,50,1.0,0.0,1,3,24,53.0
cmapss_fd001,lite_no_attn_mc,50,1.0,0.25,1,3,24,53.0
cmapss_fd001,lite_no_attn_mc,50,1.0,0.5,1,3,24,53.0
cmapss_fd001,lite_no_attn_mc,50,1.0,1.0,1,3,24,53.0
cmapss_fd001,lite_no_attn_mc,50,1.0,2.0,1,3,24,53.0
cmapss_fd001,lite_no_attn_mc,50,1.0,5.0,1,3,24,53.0
cmapss_fd001,lite_no_mc,50,1.0,0.0,4,2,21,202.0
cmapss_fd001,lite_no_mc,50,1.0,0.25,4,2,21,207.75
cmapss_fd001,lite_no_mc,50,1.0,0.5,4,2,21,213.5
cmapss_fd001,lite_no_mc,50,1.0,1.0,4,2,21,225.0
cmapss_fd001,lite_no_mc,50,1.0,2.0,4,2,21,248.0
cmapss_fd001,lite_no_mc,50,1.0,5.0,4,2,21,317.0
cmapss_fd001,matched_tcn,50,2.0,0.0,2,2,23,104.0
cmapss_fd001,matched_tcn,50,2.0,0.25,2,2,23,104.0
cmapss_fd001,matched_tcn,50,2.0,0.5,2,2,23,104.0
cmapss_fd001,matched_tcn,50,2.0,1.0,2,2,23,104.0
cmapss_fd001,matched_tcn,50,2.0,2.0,2,2,23,104.0
cmapss_fd001,matched_tcn,50,2.0,5.0,2,2,23,104.0
cmapss_fd001,full_mc,50,2.0,0.0,1,2,24,54.0
cmapss_fd001,full_mc,50,2.0,0.25,1,2,24,60.5
cmapss_fd001,full_mc,50,2.0,0.5,1,2,24,67.0
cmapss_fd001,full_mc,50,2.0,1.0,1,2,24,80.0
