dataset,model,uncertainty,target_coverage,actual_coverage,risk
xjtu,proposed_lite,entropy,0.95,0.9875,0.310126582278481
xjtu,proposed_lite,entropy,1.0,1.0,0.3125
ur3,full,MC,0.5,0.4787234042553192,0.2574074074074074
ur3,full,MC,0.55,0.523936170212766,0.26903553299492383
ur3,full,MC,0.6,0.5682624113475178,0.2745709828393136
ur3,full,MC,0.65,0.62322695035461,0.283072546230441
ur3,full,MC,0.7,0.674645390070922,0.2943495400788436
ur3,full,MC,0.75,0.7118794326241135,0.3013698630136986
ur3,full,MC,0.8,0.7810283687943262,0.3178206583427923
ur3,full,MC,0.85,0.8271276595744681,0.3279742765273312
ur3,full,MC,0.9,0.8945035460992907,0.3389494549058474
ur3,full,MC,0.95,0.9539007092198581,0.36059479553903345
ur3,full,MC,1.0,1.0,0.374113475177305
ur3,full,pseudo_abs,0.5,0.3670212765957447,0.04589371980676329
ur3,full,pseudo_abs,0.55,0.41134751773049644,0.05172413793103448
ur3,full,pseudo_abs,0.6,0.450354609929078,0.05708661417322835
ur3,full,pseudo_abs,0.65,0.50177304964539,0.0812720848056537
ur3,full,pseudo_abs,0.7,0.5540780141843972,0.1056
ur3,full,pseudo_abs,0.75,0.6320921985815603,0.16129032258064516
ur3,full,pseudo_abs,0.8,0.7101063829787234,0.23470661672908863
ur3,full,pseudo_abs,0.85,0.7872340425531915,0.28153153153153154
ur3,full,pseudo_abs,0.9,0.8546099290780141,0.31431535269709543
ur3,full,pseudo_abs,0.95,0.9441489361702128,0.3464788732394366
ur3,full,pseudo_abs,1.0,1.0,0.374113475177305
ur3,full,entropy,0.5,0.3670212765957447,0.04589371980676329
ur3,full,entropy,0.55,0.41134751773049644,0.05172413793103448
ur3,full,entropy,0.6,0.450354609929078,0.05708661417322835
ur3,full,entropy,0.65,0.50177304964539,0.0812720848056537
ur3,full,entropy,0.7,0.5540780141843972,0.1056
ur3,full,entropy,0.75,0.6320921985815603,0.16129032258064516
ur3,full,entropy,0.8,0.7101063829787234,0.23470661672908863
ur3,full,entropy,0.85,0.7872340425531915,0.28153153153153154
ur3,full,entropy,0.9,0.8546099290780141,0.31431535269709543
ur3,full,entropy,0.95,0.9441489361702128,0.3464788732394366
ur3,full,entropy,1.0,1.0,0.374113475177305
ur3,proposed_lite,MC,0.5,0.4104609929078014,0.11447084233261338
ur3,proposed_lite,MC,0.55,0.4671985815602837,0.14041745730550284
ur3,proposed_lite,MC,0.6,0.5274822695035462,0.17647058823529413
ur3,proposed_lite,MC,0.65,0.5691489361702128,0.20249221183800623
ur3,proposed_lite,MC,0.7,0.62322695035461,0.2361308677098151
ur3,proposed_lite,MC,0.75,0.6702127659574468,0.26851851851851855
ur3,proposed_lite,MC,0.8,0.7189716312056738,0.29839704069050554
ur3,proposed_lite,MC,0.85,0.774822695035461,0.34096109839816935
ur3,proposed_lite,MC,0.9,0.8377659574468085,0.37777777777777777
ur3,proposed_lite,MC,0.95,0.900709219858156,0.40846456692913385
ur3,proposed_lite,MC,1.0,1.0,0.44592198581560283
ur3,proposed_lite,pseudo_abs,0.5,0.4219858156028369,0.09663865546218488
ur3,proposed_lite,pseudo_abs,0.55,0.4574468085106383,0.12015503875968993
ur3,proposed_lite,pseudo_abs,0.6,0.50177304964539,0.1519434628975265
ur3,proposed_lite,pseudo_abs,0.65,0.5780141843971631,0.1794478527607362
ur3,proposed_lite,pseudo_abs,0.7,0.6161347517730497,0.21726618705035972
ur3,proposed_lite,pseudo_abs,0.75,0.6826241134751773,0.274025974025974
ur3,proposed_lite,pseudo_abs,0.8,0.7455673758865248,0.3162901307966706
ur3,proposed_lite,pseudo_abs,0.85,0.7960992907801419,0.3518930957683742
ur3,proposed_lite,pseudo_abs,0.9,0.851063829787234,0.378125
ur3,proposed_lite,pseudo_abs,0.95,0.9414893617021277,0.4209039548022599
ur3,proposed_lite,pseudo_abs,1.0,1.0,0.44592198581560283
ur3,proposed_lite,entropy,0.5,0.4219858156028369,0.09663865546218488
ur3,proposed_lite,entropy,0.55,0.4574468085106383,0.12015503875968993
ur3,proposed_lite,entropy,0.6,0.50177304964539,0.1519434628975265
ur3,proposed_lite,entropy,0.65,0.5780141843971631,0.1794478527607362
ur3,proposed_lite,entropy,0.7,0.6161347517730497,0.21726618705035972
ur3,proposed_lite,entropy,0.75,0.6826241134751773,0.274025974025974
ur3,proposed_lite,entropy,0.8,0.7455673758865248,0.3162901307966706
ur3,proposed_lite,entropy,0.85,0.7960992907801419,0.3518930957683742
ur3,proposed_lite,entropy,0.9,0.851063829787234,0.378125
ur3,proposed_lite,entropy,0.95,0.9414893617021277,0.4209039548022599
ur3,proposed_lite,entropy,1.0,1.0,0.44592198581560283
